stock_id,signal_date,gh,days_since_high,wm60_twd,last_close,label,weight,planned_entry
2887,2026-07-20,0.9539,6,3068697787,35.15,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
2883,2026-07-20,0.961,20,2580149016,29.55,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
8039,2026-07-20,0.9674,2,2479996134,193.0,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
2886,2026-07-20,1.0,0,1618251327,48.2,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
2892,2026-07-20,0.9956,7,1544149313,33.95,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
2880,2026-07-20,0.9938,1,1287179058,39.9,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
6505,2026-07-20,0.9557,1,1167731433,77.7,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
2634,2026-07-20,0.9517,3,1048576804,65.0,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
6414,2026-07-20,1.0,0,715306740,405.0,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
2801,2026-07-20,0.9917,6,647223515,23.85,SIM_EXECUTION_SAMPLE_NOT_VALIDATED,0.1,next_trading_day_open
