stock_id,weight,signal,signal_date,entry_rule,label
1808,0.033333,accel=750.8957,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6219,0.033333,accel=133.9257,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
5522,0.033333,accel=23.2185,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6026,0.033333,accel=14.4237,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6177,0.033333,accel=11.7298,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
8926,0.033333,accel=9.5131,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
4513,0.033333,accel=7.7406,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
4113,0.033333,accel=5.6623,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6885,0.033333,accel=5.1944,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
2465,0.033333,accel=4.0854,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
2348,0.033333,accel=3.0268,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6535,0.033333,accel=2.9808,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
8171,0.033333,accel=2.8607,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
2425,0.033333,accel=2.8040,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
8096,0.033333,accel=2.7898,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
4416,0.033333,accel=2.7866,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6533,0.033333,accel=2.4476,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
2442,0.033333,accel=2.4104,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
4174,0.033333,accel=2.2549,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
5508,0.033333,accel=2.1297,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
8047,0.033333,accel=1.9457,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
8478,0.033333,accel=1.7599,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
8059,0.033333,accel=1.7410,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
5267,0.033333,accel=1.6974,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
2101,0.033333,accel=1.6951,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6515,0.033333,accel=1.6810,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6808,0.033333,accel=1.6043,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
6423,0.033333,accel=1.5478,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
8383,0.033333,accel=1.5398,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
3093,0.033333,accel=1.4146,2026-07-13,broker_sync_2026-07-23_open,SIM_EXECUTION_SAMPLE_NOT_VALIDATED
